Name;Article;Amount
Ansel Adams;Digital camera;1500
Ansel Adams;Photoshop Pro;600
Ansel Adams;Lenses;2100
Ansel Adams;iPad;800
Hillary Clinton;E-Reader;110
Hillary Clinton;Secure cloud service;230
Hillary Clinton;Notebook PC;1200
Hillary Clinton;Secure smartphone;1270
Gallileo Gallilei;Telescope;990
Gallileo Gallilei;Notebook PC;1200
Gallileo Gallilei;Office Suite;160
Ludwig van Beethoven;Headphones;250
Ludwig van Beethoven;Sepakers;1300
Ludwig van Beethoven;Smartphone;770
Max Frisch;E-Reader;110
Max Frisch;Office Suite;160
Rolf Knie;Event Lighting;3000
Paul Klee;Notebook PC;1200
Paul Klee;Digital camera;800
Paul Klee;Espresso machine;450
Tiger Woods;Speed measuring device;120
Tiger Woods;iPad;800
Tiger Woods;Espresso machine;450
Tiger Woods;Video camera;550
Tiger Woods;Smartphone;770
